"Specimen thickness",1.06,"mm"
"Specimen width",6.02,"mm"
"Cross-section",6.3812,"mm²"
"Gage length, standard travel",20,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",43447.4,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard force","Standard travel"
"s","mm","N","mm"
16.0441,-755.271,1813.42,0.0258
16.0541,-755.27,1815.66,0.026
16.0641,-755.27,1817.92,0.026
16.0741,-755.27,1820.19,0.026
16.0841,-755.27,1822.46,0.026
16.0941,-755.27,1824.73,0.0262
16.1041,-755.27,1826.98,0.026
16.1141,-755.269,1829.25,0.0262
16.1241,-755.269,1831.58,0.0262
16.1341,-755.269,1833.87,0.0262
16.1441,-755.269,1836.16,0.0262
16.1541,-755.269,1838.49,0.02639
16.1641,-755.269,1840.8,0.0264
16.1741,-755.268,1843.11,0.0264
16.1841,-755.268,1845.43,0.0264
16.1941,-755.268,1847.78,0.0264
16.2041,-755.268,1850.1,0.0264
16.2141,-755.268,1852.48,0.0264
16.2241,-755.268,1854.82,0.0266
16.2341,-755.267,1857.2,0.0266
16.2441,-755.267,1859.59,0.0266
16.2541,-755.267,1861.95,0.0266
16.2641,-755.267,1864.34,0.0266
16.2741,-755.267,1866.69,0.0266
16.2841,-755.267,1869.02,0.0266
16.2941,-755.266,1871.38,0.0268
16.3041,-755.266,1873.77,0.0268
16.3141,-755.266,1876.09,0.0268
16.3241,-755.266,1878.44,0.0268
16.3341,-755.266,1880.77,0.0268
16.3441,-755.266,1883.1,0.0268
16.3541,-755.265,1885.41,0.027
16.3641,-755.265,1887.72,0.027
16.3741,-755.265,1890.07,0.027
16.3841,-755.265,1892.39,0.027
16.3941,-755.265,1894.66,0.02719
16.4041,-755.265,1896.95,0.02701
16.4141,-755.264,1899.24,0.02719
16.4241,-755.264,1901.55,0.0272
16.4341,-755.264,1903.83,0.0272
16.4441,-755.264,1906.08,0.0272
16.4541,-755.264,1908.35,0.0272
16.4641,-755.264,1910.64,0.0274
16.4741,-755.263,1912.92,0.02721
16.4841,-755.263,1915.21,0.0274
16.4941,-755.263,1917.52,0.0274
16.5041,-755.263,1919.83,0.0274
16.5141,-755.263,1922.13,0.0274
16.5241,-755.263,1924.38,0.0274
